2026-01-12 17:19:22,850 | INFO | etl | Extracting from OLTP...
2026-01-12 17:19:22,911 | INFO | etl | Transforming...
2026-01-12 17:19:22,937 | INFO | etl | Loading dimensions (UPSERT)...
2026-01-12 17:19:23,078 | INFO | etl | Loading facts (UPSERT)...
2026-01-12 17:19:23,161 | INFO | etl | ETL done ✅
2026-01-12 17:20:30,669 | INFO | etl | Extracting from OLTP...
2026-01-12 17:20:30,729 | INFO | etl | Transforming...
2026-01-12 17:20:30,758 | INFO | etl | Loading dimensions (UPSERT)...
2026-01-12 17:20:30,879 | INFO | etl | Loading facts (UPSERT)...
2026-01-12 17:20:30,966 | INFO | etl | ETL done ✅
2026-01-12 17:20:30,966 | INFO | etl | Exporting curated files...
2026-01-12 17:21:06,101 | INFO | etl | Extracting from OLTP...
2026-01-12 17:21:06,165 | INFO | etl | Transforming...
2026-01-12 17:21:06,188 | INFO | etl | Loading dimensions (UPSERT)...
2026-01-12 17:21:06,307 | INFO | etl | Loading facts (UPSERT)...
2026-01-12 17:21:06,390 | INFO | etl | ETL done ✅
2026-01-12 17:26:11,643 | INFO | etl | Extracting from OLTP...
2026-01-12 17:26:11,702 | INFO | etl | Transforming...
2026-01-12 17:26:11,737 | INFO | etl | Loading dimensions (UPSERT)...
2026-01-12 17:26:11,856 | INFO | etl | Loading facts (UPSERT)...
2026-01-12 17:26:11,936 | INFO | etl | ETL done ✅
2026-01-12 17:26:11,936 | INFO | etl | Creating curated views (dw.v_curated_*) ...
2026-01-12 17:26:11,944 | INFO | etl | Curated views ready ✅
2026-01-12 17:26:11,944 | INFO | etl | Exporting curated files...
2026-01-12 17:26:11,956 | INFO | etl | Curated files saved to data_output\curated
